assessment_name,assessment_url,category,test_type,description
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,General,P,.NET MVC (New)
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,General,P,.NET MVVM (New)
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,General,P,.NET WCF (New)
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,General,P,.NET WPF (New)
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,General,P,.NET XAML (New)
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,General,P,Accounts Payable (New)
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,General,P,Accounts Payable Simulation (New)
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,General,P,Accounts Receivable (New)
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,General,P,Accounts Receivable Simulation (New)
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,General,P,ADO.NET (New)
About SHL,https://www.shl.com/about/,General,P,About SHL
Case Studies,https://www.shl.com/resources/by-type/customer-stories/,General,P,Case Studies
SHL Careers,https://www.shl.com/careers/,General,P,SHL Careers
Subscribe,https://www.shl.com/about/company/contact/subscribe/,General,P,Subscribe
Platform Login,https://www.shl.com/login/,General,P,Platform Login
Client Support↗,https://support.shl.com/categories.html?hl=en&c=10_91_13_,General,P,Client Support↗
Product Catalog,https://www.shl.com/products/product-catalog/,General,P,Product Catalog
Candidate Support↗,https://support.shl.com/categories.html?hl=en&c=10_91_12_,General,P,Candidate Support↗
Raise an Issue↗,https://support.shl.com/contactUs.html?hl=en&c=10_91_12_,General,P,Raise an Issue↗
Neurodiversity Hub,https://www.shl.com/shldirect/en/neurodiversity-information-hub-for-candidates/,General,P,Neurodiversity Hub
AMCAT↗,https://www.myamcat.com,General,P,AMCAT↗
Cookie Policy,https://www.shl.com/legal/privacy/cookie-policy/,General,P,Cookie Policy
Privacy Notice,https://www.shl.com/legal/privacy/,General,P,Privacy Notice
Security & Compliance,https://www.shl.com/legal/security-and-compliance/,General,P,Security & Compliance
Legal Resources,https://www.shl.com/legal/,General,P,Legal Resources
UK Modern Slavery,https://www.shl.com/legal/shl-modern-slavery-act/,General,P,UK Modern Slavery
Site Map,https://www.shl.com/company/site-map/,General,P,Site Map
Site Search,https://www.shl.com/search/,General,P,Site Search
Search by keyword...,https://www.shl.com/products/product-catalog/view/account-manager-solution/,General,P,Search by keyword...
